,Property,n,Label
0,P813,21473,retrieved
1,P248,13040,stated in
2,P854,11190,reference URL
3,P106,5091,occupation
4,P214,3002,VIAF ID
5,P143,2716,imported from Wikimedia project
6,P735,2652,given name
7,P6264,2273,Harvard Index of Botanists ID
8,P1810,2212,named as
9,P734,2112,family name
10,P1545,2092,series ordinal
11,P31,1992,instance of
12,P569,1864,date of birth
13,P21,1813,sex or gender
14,P3831,1790,object has role
15,P570,1622,date of death
16,P27,1581,country of citizenship
17,P586,1421,IPNI author ID
18,P2889,1389,FamilySearch person ID
19,P6944,1294,Bionomia ID
20,P535,1165,Find A Grave memorial ID
21,P304,1123,page(s)
22,P19,1079,place of birth
23,P428,931,botanist author abbreviation
24,P20,812,place of death
25,P4081,776,BHL creator ID
26,P69,773,educated at
27,P108,726,employer
28,P7859,601,WorldCat Identities ID
29,P3342,583,significant person
30,P580,547,start time
31,P244,545,Library of Congress authority ID
32,P463,543,member of
33,P213,478,ISNI
34,P551,421,residence
35,P26,402,spouse
36,P227,390,GND ID
37,P1412,379,"languages spoken, written or signed"
38,P582,330,end time
39,P1476,305,title
40,P1006,298,Nationale Thesaurus voor Auteurs ID
41,P269,283,IdRef ID
42,P4656,278,Wikimedia import URL
43,P268,274,Bibliothèque nationale de France ID
44,P585,272,point in time
45,P166,268,award received
46,P646,264,Freebase ID
47,P887,261,based on heuristic
48,P1065,257,archive URL
49,P2671,253,Google Knowledge Graph ID
50,P18,250,image
51,P1207,236,NUKAT ID
52,P3430,229,SNAC ARK ID
53,P2163,221,FAST ID
54,P3065,211,RERO ID
55,P101,208,field of work
56,P1001,204,applies to jurisdiction
57,P7763,203,copyright status as a creator
58,P3452,202,inferred from
59,P485,195,archives at
60,P478,192,volume
61,P119,192,place of burial
62,P648,185,Open Library ID
63,P2949,183,WikiTree person ID
64,P577,178,publication date
65,P2600,175,Geni.com profile ID
66,P1343,171,described by source
67,P40,155,child
68,P512,152,academic degree
69,P10168,152,Zürich Herbaria collector ID
70,P373,142,Commons category
71,P4228,131,Encyclopedia of Australian Science ID
72,P3544,125,Te Papa agent ID
73,P271,124,CiNii author ID (books)
74,P937,120,work location
75,P3807,119,S2A3 Biographical Database ID
76,P1315,117,NLA Trove people ID
77,P6379,113,has works in the collection
78,P3373,111,sibling
79,P1015,111,NORAF ID
80,P691,110,NKCR AUT ID
81,P1477,110,birth name
82,P22,107,father
83,P8189,105,National Library of Israel J9U ID
84,P1449,105,nickname
85,P103,104,native language
86,P7902,103,Deutsche Biographie (GND) ID
87,P2349,101,Stuttgart Database of Scientific Illustrators ID
88,P4638,92,The Peerage person ID
89,P6683,88,Alexander Turnbull Library ID
90,P409,80,Libraries Australia ID
91,P39,76,position held
92,P1416,74,affiliation
93,P687,73,BHL Page ID
94,P8179,72,Canadiana Name Authority ID
95,P496,71,ORCID iD
96,P805,70,statement is subject of
97,P1480,63,sourcing circumstances
98,P3029,61,UK National Archives ID
99,P5008,61,on focus list of Wikimedia project
100,P7452,61,reason for preferred rank
101,P2745,61,Dictionary of New Zealand Biography ID
102,P1027,60,conferred by
103,P1559,59,name in native language
104,P1415,59,Oxford Dictionary of National Biography ID
105,P109,57,signature
106,P800,56,notable work
107,P2734,56,Unz Review author ID
108,P8914,54,ZOBODAT person ID
109,P1317,54,floruit
110,P1871,52,CERL Thesaurus ID
111,P1417,52,Encyclopædia Britannica Online ID
112,P3987,51,SHARE Catalogue author ID
113,P7298,51,Auckland Museum ID
114,P356,49,DOI
115,P5370,47,Entomologists of the World ID
116,P2868,47,subject has role
117,P3762,45,openMLOL author ID
118,P1889,44,different from
119,P1039,43,kinship to subject
120,P1038,42,relative
121,P185,42,doctoral student
122,P25,42,mother
123,P407,41,language of work or name
124,P6886,40,writing language
125,P965,38,burial plot reference
126,P6722,38,FemBio ID
127,P950,37,Biblioteca Nacional de España ID
128,P973,37,described at URL
129,P7293,35,PLWABN ID
130,P906,35,SELIBR ID
131,P5587,34,Libris-URI
132,P2038,34,ResearchGate profile ID
133,P184,33,doctoral advisor
134,P1066,33,student of
135,P949,32,National Library of Israel ID
136,P1280,31,CONOR.SI ID
137,P4629,30,Online Books Page author ID
138,P2241,30,reason for deprecated rank
139,P509,29,cause of death
140,P5858,29,Index Herbariorum code
141,P1938,29,Project Gutenberg author ID
142,P802,27,student
143,P1472,26,Commons Creator page
144,P4823,26,American National Biography ID
145,P958,25,"section, verse, paragraph, or clause"
146,P6821,24,Uppsala University Alvin ID
147,P2699,24,URL
148,P650,23,RKDartists ID
149,P1005,22,Portuguese National Library ID
150,P2650,22,interested in
151,P6594,20,Guggenheim fellows ID
152,P1534,20,end cause
153,P5361,20,BNB person ID
154,P3782,20,Artnet artist ID
155,P6023,20,ResearchGate contributions ID
156,P245,19,Union List of Artist Names ID
157,P7704,19,Europeana entity
158,P4432,19,AKL Online artist ID
159,P1711,19,British Museum person or institution ID
160,P935,18,Commons gallery
161,P8947,18,Museo Galileo authority ID
162,P8034,18,Vatican Library VcBA ID
163,P1196,18,manner of death
164,P6605,18,Plant Illustrations artist ID
165,P2383,18,CTHS person ID
166,P812,18,academic major
167,P6844,18,abART person ID
168,P3413,17,Leopoldina member ID
169,P349,17,National Diet Library ID
170,P9159,17,People Australia ID
171,P1819,17,genealogics.org person ID
172,P6634,16,LinkedIn personal profile ID
173,P1907,16,Australian Dictionary of Biography ID
174,P1816,16,National Portrait Gallery (London) person ID
175,P2562,16,married name
176,P8826,15,edition humboldt digital ID
177,P1442,15,image of grave
178,P2381,15,Academic Tree ID
179,P2096,15,media legend
180,P737,15,influenced by
181,P2031,15,work period (start)
182,P910,14,topic's main category
183,P9905,14,relevant date for copyright
184,P9044,14,GEPRIS-Historisch ID (Person)
185,P217,14,inventory number
186,P2732,14,Persée author ID
187,P1153,14,Scopus author ID
188,P8081,14,WBIS ID
189,P7831,14,NMVW ID
190,P3348,13,National Library of Greece ID
191,P9232,13,Obituaries Australia ID
192,P5375,13,BIU Santé person ID
193,P1615,13,CLARA-ID
194,P4012,13,Semantic Scholar author ID
195,P1366,13,replaced by
196,P2960,13,archive date
197,P607,13,conflict
198,P4539,13,Collective Biographies of Women ID
199,P1580,12,University of Barcelona authority ID (obsolete)
200,P17,12,country
201,P7699,12,National Library of Lithuania ID
202,P2750,12,Photographers' Identities Catalog ID
203,P1960,12,Google Scholar author ID
204,P3051,12,Kindred Britain ID
205,P642,12,of
206,P9097,12,American Academy in Rome ID
207,P2533,12,WomenWriters ID
208,P1326,12,latest date
209,P1433,11,published in
210,P9918,11,Kallías ID
211,P1017,11,Vatican Library ID (former scheme)
212,P5034,11,National Library of Korea ID
213,P3829,11,Publons author ID
214,P1053,11,ResearcherID
215,P8496,11,Archive Site Trinity College Cambridge ID
216,P140,11,religion
217,P1344,11,participant in
218,P6552,11,Twitter user numeric ID
219,P4619,10,National Library of Brazil ID
220,P1695,10,NLP ID (unique)
221,P856,10,official website
222,P6178,10,Dimensions author ID
223,P2006,10,ZooBank author ID
224,P6792,10,Find NZ Artists ID
225,P8902,10,Archives at Yale names ID
226,P6578,10,MutualArt artist ID
227,P1899,10,LibriVox author ID
228,P2966,10,National Library of Wales Authority ID
229,P651,10,Biografisch Portaal van Nederland ID
230,P1327,10,partner in business or sport
231,P8094,10,GeneaStar person ID
232,P8219,9,ASUT ID
233,P9037,9,BHCL UUID
234,P5019,9,Brockhaus Enzyklopädie online ID
235,P3222,9,NE.se ID
236,P3630,9,Babelio author ID
237,P9984,9,CANTIC ID
238,P2888,9,exact match
239,P1368,9,LNB ID
240,P902,9,HDS ID
241,P8406,9,Grove Art Online ID
242,P4789,9,Who's Who UK ID
243,P835,9,author citation (zoology)
244,P2843,9,Benezit ID
245,P1802,9,EMLO person ID
